16:42:26:159,1,1149.513986,0000011b,0000012c,000002ed,00000000,00000010,00000009,00000000
16:42:26:241,1,1152.947015,0000011c,0000016a,000000c2,00000000,0000000f,00000000,fffffff5
16:42:32:916,1,1152.992795,0000011c,00000000,000000c0,00000000,0000000e,00000000,fffffff4
16:42:33:024,1,1154.468032,0000011d,00000245,00000078,00000000,00000012,0000000c,ffffffc3
16:42:33:073,1,1154.479511,0000011d,00000000,00000077,00000000,00000000,00000000,ffffffcd
16:42:33:132,1,1154.490841,0000011d,00000246,00000074,00000000,00000000,0000000b,ffffffd3
16:42:33:225,1,1154.502355,0000011d,00000249,0000006e,00000000,0000000e,0000000e,ffffffe7
16:42:33:322,1,1158.801758,0000011e,00000157,0000039b,00000000,00000011,0000000c,00000028
16:42:33:408,1,1159.873020,0000011f,00000152,000003b4,00000000,0000000a,00000008,fffffff3
16:42:43:375,1,1160.356984,00000120,0000013c,000003f4,00000000,00000000,00000000,ffffffea
16:42:43:432,1,1160.402832,00000120,00000000,000003f5,00000000,0000000d,00000007,00000000
16:42:43:490,1,1160.426102,00000120,0000013d,00000000,00000000,00000001,00000001,0000003f
16:42:43:603,1,1164.807046,00000121,00000041,000004a3,00000000,0000000d,0000000b,ffffffe7
16:42:43:680,1,1164.829818,00000121,00000042,000004a4,00000000,0000000e,00000000,ffffffee
16:42:43:745,1,1164.841309,00000121,00000043,000004a5,00000000,0000000d,00000000,ffffffea
16:42:43:849,1,1164.852837,00000121,00000045,000004a8,00000000,0000000b,00000008,00000000
16:42:43:972,1,1164.864290,00000121,00000046,000004aa,00000000,0000000d,0000000a,fffffff1
16:42:44:106,1,1170.837060,00000122,0000013e,0000019e,00000000,0000000f,00000006,ffffffee
16:42:44:197,1,1170.942363,00000122,0000013f,0000019c,00000000,00000018,0000000e,ffffffe2
16:42:44:241,1,1170.954162,00000122,00000000,0000019a,00000000,00000019,00000000,ffffffe5
16:42:44:312,1,1170.964714,00000122,00000140,00000196,00000000,0000001a,0000000f,ffffffe7
16:42:44:370,1,1170.975775,00000122,00000141,00000192,00000000,00000000,0000000e,ffffffe8
16:42:44:431,1,1170.987455,00000122,00000142,0000018e,00000000,00000000,0000000f,ffffffe7
16:42:44:475,1,1170.998976,00000122,00000143,00000189,00000000,00000000,00000000,ffffffe8
16:42:44:510,1,1171.010484,00000122,00000000,00000184,00000000,00000019,00000000,ffffffe4
16:42:44:558,1,1171.022076,00000122,00000000,00000180,00000000,00000018,00000000,ffffffe7
16:42:44:618,1,1171.033586,00000122,00000000,0000017b,00000000,00000000,00000000,ffffffda
16:42:44:698,1,1171.045421,00000122,00000142,00000175,00000000,0000001e,00000000,ffffffd0
16:42:44:774,1,1171.056882,00000122,00000141,00000171,00000000,0000001f,00000000,ffffffd3
16:42:44:818,1,1171.068447,00000122,0000013f,0000016c,00000000,00000000,00000010,00000000
16:42:44:896,1,1171.079994,00000122,0000013d,00000166,00000000,0000001e,00000012,00000000
16:42:44:954,1,1171.091570,00000122,0000013a,0000015f,00000000,00000000,00000000,ffffffd7
16:42:45:016,1,1171.103165,00000122,00000138,0000015a,00000000,0000001d,00000000,ffffffd3
16:42:45:072,1,1171.114557,00000122,00000136,00000153,00000000,0000001e,00000000,ffffffcd
16:42:45:128,1,1171.126089,00000122,00000135,0000014e,00000000,0000001f,00000000,ffffffca
