14:22:43:376,0,3042.518534,00000022,00000000,000004e4,00000000,00000000,00000000,ffffffb6
14:22:43:421,0,3042.692380,00000022,000002bc,00000000,00000000,00000001,00000001,ffffffaa
14:22:43:467,0,3042.703792,00000022,00000000,000004e3,00000000,00000004,00000000,0000000f
14:22:43:506,0,3042.714210,00000022,00000000,000004e2,00000000,00000000,00000000,0000000a
14:22:43:545,0,3042.735806,00000022,00000000,000004e3,00000000,00000000,00000000,ffffffaf
14:22:43:603,0,3042.833631,00000022,00000000,000004e2,00000000,00000004,00000000,0000000a
14:22:43:662,0,3042.887807,00000022,00000000,000004e3,00000000,00000000,00000000,ffffffaf
14:22:43:713,0,3042.920566,00000022,00000000,000004e2,00000000,00000004,00000000,0000000a
14:22:43:748,0,3042.974811,00000022,00000000,000004e3,00000000,00000000,00000000,ffffffb6
14:22:43:785,0,3042.985672,00000022,00000000,000004e4,00000000,00000000,00000000,00000000
14:22:51:500,0,3043.148787,00000022,00000000,000004e3,00000000,00000003,00000000,0000000e
14:22:51:543,0,3043.160051,00000022,00000000,000004e4,00000000,00000000,00000000,ffffffb6
14:22:51:601,0,3043.203603,00000022,00000000,000004e3,00000000,00000003,00000000,0000000e
14:22:51:653,0,3043.344295,00000022,00000000,000004e4,00000000,00000001,00000001,ffffffb4
14:22:51:705,0,3043.366131,00000022,00000000,000004e3,00000000,00000003,00000000,0000000e
14:22:51:751,0,3043.431344,00000022,00000000,000004e2,00000000,00000004,00000000,00000008
14:22:51:780,0,3043.442260,00000022,00000000,000004e1,00000000,00000000,00000000,00000005
14:22:51:816,0,3043.529558,00000022,00000000,000004e2,00000000,00000000,00000000,ffffffaf
14:22:51:838,0,3043.539961,00000022,00000000,000004e3,00000000,00000000,00000000,ffffffae
14:22:51:878,0,3043.550934,00000022,00000000,000004e2,00000000,00000004,00000000,0000000d
14:22:51:963,0,3051.409188,0000002c,000000b6,000002ee,00000000,0000000b,00000008,0000005a
14:22:53:255,0,3051.418262,0000002c,000000bb,000002e8,00000000,00000005,00000006,0000002d
14:22:53:626,0,3051.429266,0000002c,000000cf,000002db,00000000,0000000d,0000000c,00000000
14:22:53:734,0,3051.440072,0000002c,000000f6,000002cd,00000000,00000010,0000000a,ffffffa6
14:22:53:802,0,3051.450827,0000002c,00000131,000002c1,00000000,0000000c,00000007,00000043
14:22:53:857,0,3051.461886,0000002c,00000171,000002be,00000000,0000000f,00000000,0000005a
14:22:53:909,0,3051.472725,0000002c,000001b6,00000000,00000000,00000008,00000006,ffffffa6
14:22:53:979,0,3051.483386,0000002c,000001ff,000002c9,00000000,0000000a,00000008,00000048
14:22:54:040,0,3051.494205,0000002c,00000240,000002db,00000000,00000011,00000009,ffffffb2
14:23:36:630,1,3053.122535,0000002d,00000289,000000b2,00000000,0000000e,0000000b,ffffffd3
14:23:36:697,1,3053.131900,0000002d,00000288,000000b3,00000000,00000000,0000000c,00000000
14:23:36:740,1,3053.142620,0000002d,00000287,000000b6,00000000,00000000,0000000b,00000000
14:23:36:811,1,3053.153176,0000002d,00000285,000000ba,00000000,0000000c,00000009,00000043
14:23:36:893,1,3094.294941,0000002e,00000135,00000309,00000000,00000010,0000000f,0000005a
14:23:36:944,1,3094.317218,0000002e,00000139,00000000,00000000,0000000f,0000000e,0000002d
14:23:36:986,1,3094.328115,0000002e,0000013a,00000000,00000000,00000000,0000000d,00000000
14:23:37:020,1,3094.338860,0000002e,0000013b,00000000,00000000,00000000,0000000c,00000000
14:23:37:101,1,3094.349848,0000002e,0000013c,00000308,00000000,0000000e,0000000e,00000043
14:24:00:618,1,3096.425911,0000002f,00000177,000000cd,00000000,0000000f,00000006,0000000c
14:24:00:797,1,3100.126165,00000030,00000247,0000006d,00000000,0000000e,0000000a,fffffff1
14:24:00:927,1,3110.067410,00000031,000000b4,00000447,00000000,0000000d,00000009,fffffff7
14:24:01:016,1,3110.100718,00000031,00000000,00000446,00000000,0000000f,00000000,00000000
14:24:01:080,1,3110.133956,00000031,00000000,00000445,00000000,00000010,0000000c,fffffff7
14:24:01:162,1,3110.155893,00000031,000000b3,00000444,00000000,0000000e,0000000a,fffffff5
14:24:01:236,1,3110.167014,00000031,000000b1,00000442,00000000,00000017,0000000d,00000000
14:24:01:335,1,3120.473662,00000032,00000108,00000311,00000000,00000009,00000008,00000000
14:24:01:456,1,3120.495777,00000032,00000109,00000313,00000000,00000005,00000006,0000002d
14:24:01:543,1,3120.506957,00000032,0000010a,00000317,00000000,0000000c,00000008,00000012
14:24:01:634,1,3120.518125,00000032,0000010b,0000031f,00000000,0000000b,00000009,ffffffe5
14:24:01:713,1,3120.529277,00000032,0000010c,00000325,00000000,0000000c,00000000,ffffffee
14:24:01:790,1,3120.540257,00000032,00000000,0000032a,00000000,0000000d,00000008,fffffff0
14:24:01:870,1,3120.551315,00000032,0000010d,0000032f,00000000,0000000f,00000000,fffffff3
14:24:01:942,1,3120.562528,00000032,0000010e,00000335,00000000,00000000,0000000e,00000000
14:24:01:993,1,3120.573546,00000032,0000010f,0000033c,00000000,00000000,0000000d,ffffffe2
14:24:02:036,1,3120.584514,00000032,00000110,00000343,00000000,00000000,0000000c,ffffffd3
14:24:02:113,1,3120.595846,00000032,00000111,0000034a,00000000,0000000e,0000000e,ffffffc4
14:24:02:154,1,3120.606734,00000032,00000000,00000350,00000000,00000000,0000000c,0000005a
14:24:02:225,1,3120.617849,00000032,00000112,00000356,00000000,0000000f,0000000d,ffffffd3
14:24:02:292,1,3120.628919,00000032,00000113,0000035c,00000000,00000010,00000000,00000000
14:24:02:346,1,3120.639956,00000032,00000114,00000364,00000000,00000016,0000000f,fffffff4
14:24:02:410,1,3120.651146,00000032,00000115,0000036b,00000000,00000000,0000000d,fffffffb
14:24:02:474,1,3120.662107,00000032,00000000,00000372,00000000,0000000f,0000000e,ffffffee
14:24:02:531,1,3120.673119,00000032,00000116,00000378,00000000,00000010,00000000,ffffffea
14:24:02:592,1,3120.684247,00000032,00000000,0000037f,00000000,0000000e,0000000d,ffffffa6
14:24:02:618,1,3120.695230,00000032,00000000,00000385,00000000,00000000,00000000,00000000
14:24:02:664,1,3120.706132,00000032,00000000,0000038b,00000000,0000000f,00000000,00000000
14:24:02:708,1,3120.717388,00000032,00000000,00000393,00000000,00000016,00000000,fffffffc
14:24:02:742,1,3120.728483,00000032,00000117,0000039a,00000000,00000000,0000000c,00000000
14:24:02:776,1,3120.739498,00000032,00000000,000003a1,00000000,0000000f,00000000,00000000
14:24:02:846,1,3120.750634,00000032,00000118,000003a8,00000000,0000000e,00000000,00000000
14:24:02:921,1,3120.761584,00000032,00000119,000003af,00000000,0000000d,0000000b,00000000
14:24:03:004,1,3120.772534,00000032,00000000,000003b4,00000000,0000000c,00000000,00000000
14:24:03:053,1,3120.783501,00000032,00000000,000003ba,00000000,0000000e,00000000,00000000
14:24:03:082,1,3120.794582,00000032,00000000,000003c0,00000000,00000010,00000000,00000000
14:24:03:121,1,3120.805726,00000032,00000000,000003c6,00000000,00000016,00000000,00000000
14:24:03:136,1,3120.816658,00000032,00000000,000003cc,00000000,00000000,00000000,00000000
14:24:03:159,1,3120.827885,00000032,00000000,000003d2,00000000,00000015,00000000,00000000
14:24:03:193,1,3120.838655,00000032,00000000,000003d8,00000000,00000010,00000000,00000000
14:24:03:241,1,3120.849845,00000032,0000011a,000003df,00000000,0000000d,0000000c,00000000
14:24:03:282,1,3120.860897,00000032,0000011b,000003e7,00000000,0000000e,00000000,00000000
14:24:03:341,1,3120.871870,00000032,0000011c,000003ef,00000000,0000000f,0000000b,00000000
14:24:03:387,1,3120.882986,00000032,0000011d,000003f8,00000000,00000016,00000000,00000000
14:24:03:442,1,3120.893987,00000032,0000011f,00000404,00000000,0000000f,0000000c,00000000
14:24:03:509,1,3120.904996,00000032,00000121,00000410,00000000,0000000c,0000000b,0000005a
14:24:03:560,1,3120.915817,00000032,00000124,0000041e,00000000,0000000f,00000008,0000000d
14:24:03:612,1,3120.926898,00000032,00000128,00000433,00000000,00000000,00000009,fffffff7
14:24:03:658,1,3120.937796,00000032,0000012e,0000044c,00000000,00000000,00000000,00000000
14:24:03:728,1,3120.948837,00000032,00000135,00000466,00000000,0000000e,00000000,0000000b
14:24:03:791,1,3120.959744,00000032,0000013b,0000047f,00000000,0000000f,00000007,fffffff4
14:24:03:862,1,3120.970794,00000032,00000140,00000492,00000000,00000000,00000005,00000005
14:24:03:924,1,3120.981976,00000032,00000144,0000049e,00000000,0000000e,00000009,00000000
14:24:04:042,1,3121.688972,00000033,00000147,0000042c,00000000,0000000b,00000008,ffffffef
14:24:04:104,1,3121.711370,00000033,00000000,00000429,00000000,0000000a,00000009,00000000
14:24:04:161,1,3121.722202,00000033,00000000,00000426,00000000,0000000d,0000000a,00000000
14:24:04:192,1,3121.733350,00000033,00000000,00000423,00000000,0000000e,0000000b,00000000
14:24:04:231,1,3121.744411,00000033,00000000,0000041f,00000000,0000000f,00000000,00000000
14:24:04:276,1,3121.755425,00000033,00000146,0000041a,00000000,00000000,0000000c,00000000
14:24:04:301,1,3121.766659,00000033,00000000,00000414,00000000,00000015,00000000,00000000
14:24:04:327,1,3121.777884,00000033,00000000,0000040f,00000000,00000000,0000000b,00000000
14:24:04:380,1,3121.788805,00000033,00000145,00000408,00000000,0000000f,0000000d,00000000
14:24:04:428,1,3121.799782,00000033,00000000,00000403,00000000,0000000e,00000000,00000000
14:24:04:508,1,3121.810931,00000033,00000144,000003fd,00000000,00000000,00000000,0000002d
14:24:04:562,1,3121.821992,00000033,00000143,000003f7,00000000,0000000f,00000000,ffffffd3
14:24:04:610,1,3121.833092,00000033,00000142,000003f1,00000000,00000000,00000000,ffffffdc
