10:59:18:567,0,26552.113373,000001cb,00000084,000003b7,00000000,00000009,00000008,0000005a
10:59:18:593,0,26552.125153,000001cb,00000097,000003ac,00000000,00000000,00000007,00000012
10:59:18:639,0,26552.136778,000001cb,000000b9,0000039d,00000000,0000000a,00000009,0000002d
10:59:18:679,0,26552.148588,000001cb,000000e2,0000038b,00000000,00000009,00000006,ffffffa6
10:59:18:721,0,26552.160867,000001cb,0000010d,00000381,00000000,0000000d,00000009,0000005a
10:59:18:760,0,26552.172608,000001cb,0000013d,00000376,00000000,00000009,00000007,00000016
10:59:19:574,0,26552.184356,000001cb,00000169,0000036e,00000000,0000000c,00000000,0000003a
10:59:19:603,0,26552.196341,000001cb,00000199,0000036b,00000000,0000000a,00000000,00000040
10:59:19:651,0,26552.208607,000001cb,000001b9,0000036d,00000000,00000009,00000008,ffffffa6
10:59:19:695,0,26553.218164,000001cc,00000088,000003b2,00000000,00000008,00000007,0000005a
10:59:19:738,0,26553.229578,000001cc,00000093,000003ad,00000000,00000006,00000005,0000002d
10:59:19:764,0,26553.241380,000001cc,000000ae,000003a4,00000000,00000008,00000006,0000003c
10:59:19:790,0,26553.253577,000001cc,000000d4,00000398,00000000,0000000a,00000009,0000005a
10:59:19:825,0,26553.265425,000001cc,00000103,00000390,00000000,00000000,00000000,00000000
10:59:19:869,0,26553.277019,000001cc,00000139,00000388,00000000,00000006,00000007,ffffffe4
10:59:20:718,0,26553.289057,000001cc,00000167,00000387,00000000,0000000a,00000005,0000005a
10:59:20:767,0,26553.300913,000001cc,0000019f,0000038c,00000000,0000000c,00000008,0000004b
10:59:20:813,0,26553.312535,000001cc,000001d7,00000398,00000000,0000000e,00000007,ffffffa6
10:59:20:868,0,26554.358260,000001cd,000000ea,000003a3,00000000,00000009,00000000,0000004b
10:59:20:890,0,26554.369905,000001cd,0000010e,00000398,00000000,00000008,00000000,00000022
10:59:20:928,0,26554.381784,000001cd,0000013e,0000038b,00000000,0000000c,00000006,0000005a
10:59:20:955,0,26554.393548,000001cd,00000169,00000386,00000000,00000009,00000007,00000000
10:59:20:976,0,26554.405372,000001cd,00000199,00000383,00000000,00000008,00000000,00000000
10:59:21:007,0,26554.417098,000001cd,000001c1,00000384,00000000,00000006,00000006,00000000
10:59:21:673,0,26554.429559,000001cd,000001e6,00000388,00000000,0000000c,0000000a,ffffffd3
10:59:21:738,0,26555.296354,000001ce,000000c6,00000352,00000000,00000009,00000008,0000005a
10:59:21:772,0,26555.308233,000001ce,000000dc,00000345,00000000,00000008,00000005,0000000b
10:59:21:816,0,26555.320181,000001ce,000000fd,00000335,00000000,00000009,00000009,ffffffe1
10:59:21:844,0,26555.331708,000001ce,00000128,00000325,00000000,00000008,00000007,0000003c
10:59:21:881,0,26555.343604,000001ce,00000159,0000031c,00000000,00000009,00000006,0000001e
10:59:21:908,0,26555.355464,000001ce,0000018b,00000319,00000000,00000000,00000000,00000000
10:59:21:930,0,26555.367314,000001ce,000001bc,00000000,00000000,00000000,00000007,00000000
10:59:21:959,0,26555.379068,000001ce,000001e8,0000031c,00000000,00000000,00000006,ffffffb3
11:00:14:080,0,26555.390714,000001ce,00000201,0000031e,00000000,00000006,00000000,00000000
11:00:14:189,0,26561.069884,000001cf,0000028f,000000a6,00000000,0000000d,0000000a,0000005a
